"","ID","times","service.ord.","testqueue.times.ord.","testqueue.queue.ord."
"63",63,2.88606848927779,2.01307780043392,4.89914628971171,1
"88",88,4.04567103155895,1.96525722200425,6.86440351171595,1
"42",42,7.40396439783767,0.309521810526805,7.71348620836448,1
"80",80,7.90682336859034,1.46215112158769,9.36897449017803,1
"30",30,9.1796469281751,1.28021357644159,10.6491880666196,1
"4",4,9.57400366870624,0.806502221632036,11.4556902882517,1
"99",99,13.0532631692941,1.17292296339568,14.2261861326897,1
"52",52,13.0868045395558,2.22906646642143,16.4552525991112,1
"33",33,13.1070567104445,0.707988228837045,15.707988228837,2
"14",14,13.3125764635903,0.861102901410415,15.8611029014104,3
"15",15,15.5076770061344,0.633224016437638,16.3412122452747,2
"74",74,17.3510650186589,2.72938384415701,20.0804488628159,1
"65",65,18.643430565817,0.776883150290481,19.4203137161074,2
"60",60,18.7065517969754,0.0587389251855074,18.7652907221609,3
"61",61,19.1963399385395,2.40062563203423,21.5969655705737,3
"31",31,20.3186396710381,1.40151083920518,21.7201505102433,1
"10",10,22.2496528983269,0.942072231144601,23.1917251294715,1
"8",8,22.3238057853037,0.235935879331963,22.5597416646356,2
"71",71,22.9535753432855,1.74449801740619,24.6980733606917,2
"93",93,23.8299688676828,0.327196688979188,24.157165556662,1
"16",16,24.5934954492443,0.434947480808951,25.0284429300532,1
"9",9,24.7380892486434,1.35686034394618,26.0949495925896,2
"72",72,28.028656009498,10.092511241585,38.121167251083,1
"18",18,29.3687824018977,3.44351121732788,32.8122936192256,2
"76",76,31.8595542296302,0.988844891971628,39.1100121430547,1
"45",45,32.6662225873171,0.0772097970480511,39.1872219401027,1
"67",67,35.4198425120842,6.17775767606806,45.3649796161708,1
"79",79,36.1766902597516,0.567810222739372,45.9327898389101,1
"35",35,37.1290852995689,1.41835111287166,47.3511409517818,1
"48",48,38.2356172802552,1.7266718296145,49.0778127813963,1
"77",77,38.797307396398,0.336259425331843,49.4140722067281,1
"62",62,42.3960826068246,2.53880671674713,51.9528789234753,1
"70",70,42.6437823036555,1.948952627088,53.9018315505633,1
"2",2,43.4249120460334,0.259451997910264,54.1612835484735,1
"6",6,43.9085268814466,0.663914706377906,54.8251982548514,1
"19",19,43.9517908248037,2.00270633203933,56.8279045868908,1
"57",57,43.9983481041037,0.603146105197761,57.4310506920885,1
"49",49,44.8203438458995,0.819387249969462,58.250437942058,1
"95",95,45.0150511419402,3.60356381988066,61.8540017619386,1
"36",36,45.7981059888688,1.45763528252205,63.3116370444607,1
"92",92,46.5489967905349,1.84136609637734,65.153003140838,1
"1",1,50.0078155391679,4.65579089163217,69.8087940324702,1
"3",3,50.1843134541118,1.44118444123649,71.2499784737067,1
"81",81,50.9477397196634,0.610292657166761,71.8602711308735,1
"27",27,52.3777500612713,2.57540186465272,74.4356729955262,1
"68",68,52.4039670950889,1.5812605745303,76.0169335700565,1
"24",24,53.5145877827688,0.178408100863301,76.1953416709198,1
"66",66,55.3978120655221,0.350944492245945,76.5462861631657,1
"12",12,59.3590749320032,1.30155003025088,77.8478361934166,1
"44",44,61.8811519441535,2.98207936099594,80.8299155544125,1
"78",78,62.2872598620909,0.319629527596839,81.1495450820094,1
"50",50,62.4276988400012,0.255534377164017,81.4050794591734,1
"29",29,63.2168720392527,3.4377319490571,84.8428114082305,1
"22",22,67.648105910743,0.683754076260616,85.5265654844911,1
"89",89,67.8330034425558,0.862071245140659,86.3886367296318,1
"90",90,68.7174917929861,0.596109597875497,86.9847463275073,1
"54",54,70.5645897412008,0.398495341958324,87.3832416694656,1
"38",38,72.6221250724443,0.188882275353874,87.5721239448195,1
"100",100,74.1341724679009,0.670310129240741,88.2424340740602,1
"39",39,75.7699425423473,2.25015161977608,90.4925856938363,1
"69",69,75.9795588877582,0.57236634755723,91.0649520413935,1
"26",26,76.0006275758076,1.65112816078167,92.7160802021752,1
"32",32,76.3558768930715,1.98465121992269,94.7007314220979,1
"11",11,77.27120677441,1.57267629932311,96.273407721421,1
"53",53,77.9340147441073,0.0654106642134888,96.3388183856345,1
"59",59,79.2996032109752,0.595230149907414,96.9340485355419,1
"25",25,81.087493327636,0.931969314079796,97.8660178496217,1
"56",56,83.2298471632475,3.3891975445694,101.255215394191,1
"85",85,86.9847748891054,1.51695841861107,102.772173812802,1
"86",86,88.7765687598775,0.847465718229231,103.619639531031,1
"34",34,90.7709492005604,0.363471168963343,103.983110699995,1
"58",58,96.6247236280824,2.63382661092916,106.616937310924,1
"75",75,101.683307265225,2.57611639289664,109.193053703821,1
"46",46,111.240102132425,0.259372375340839,111.499474507766,1
"87",87,114.396488328722,0.659388006019707,115.055876334742,1
"97",97,114.602241053681,0.449798025314581,115.505674360057,1
"91",91,116.466218280356,0.2319129626152,116.698131242971,1
"20",20,118.486276263551,3.02813918587627,121.514415449427,1
"21",21,119.346345210977,2.16350836911074,123.677923818538,1
"28",28,120.467513449374,0.263667036894172,123.941590855432,1
"13",13,129.615563203583,1.55835191179051,131.173915115374,1
"17",17,134.017864710261,1.53006946598406,135.547934176245,1
"84",84,143.61349698394,2.21792608124258,145.831423065183,1
"5",5,150.420051123296,4.06112736837531,154.481178491671,1
"98",98,153.002838612834,0.818049305253298,155.299227796924,1
"55",55,156.180323812264,0.247596634430289,156.427920446694,1
"83",83,158.705716928473,1.91795302672341,160.623669955197,1
"82",82,168.27739572337,1.70145134565554,169.978847069025,1
"96",96,169.133988231842,3.35578632096471,173.33463338999,1
"43",43,181.040108184232,0.141399997907393,181.18150818214,1
"64",64,183.68379172835,1.05306830912147,184.736860037471,1
"94",94,201.432473359327,1.70186631456161,203.134339673889,1
"73",73,235.863673493935,2.00128087355394,237.864954367489,1
"7",7,247.962503846198,0.483038293080599,248.445542139279,1
"23",23,264.301368495616,1.86329368735513,266.164662182971,1
"40",40,284.21843908701,0.390296056332121,284.608735143343,1
"51",51,345.153458429935,2.745659731181,347.899118161116,1
"47",47,369.600388701585,0.584011962643077,370.184400664228,1
"37",37,398.490823559817,9.59732242177321,408.088145981591,1
"41",41,551.233737807234,0.488530570467265,551.722268377702,1
